date,Ticker,BDH_Value,Return
8/19/2013,M9WO0RE Index,197.9256,-0.008133854
8/20/2013,M9WO0RE Index,199.2359,0.006620164
8/21/2013,M9WO0RE Index,198.3828,-0.004281859
8/22/2013,M9WO0RE Index,198.0014,-0.001922546
8/23/2013,M9WO0RE Index,199.8102,0.009135289
8/26/2013,M9WO0RE Index,200.2731,0.002316699
8/27/2013,M9WO0RE Index,199.2349,-0.005183921
8/28/2013,M9WO0RE Index,197.6643,-0.007883157
8/29/2013,M9WO0RE Index,198.148,0.002447078
8/30/2013,M9WO0RE Index,197.9313,-0.001093627
9/2/2013,M9WO0RE Index,199.3023,0.006926646
9/3/2013,M9WO0RE Index,199.0164,-0.001434504
9/4/2013,M9WO0RE Index,199.8283,0.004079563
9/5/2013,M9WO0RE Index,198.8783,-0.004754081
9/6/2013,M9WO0RE Index,200.5916,0.008614816
9/9/2013,M9WO0RE Index,204.3269,0.018621418
9/10/2013,M9WO0RE Index,205.1834,0.004191812
9/11/2013,M9WO0RE Index,206.3339,0.005607179
9/12/2013,M9WO0RE Index,205.7444,-0.00285702
9/13/2013,M9WO0RE Index,206.1589,0.002014636
9/16/2013,M9WO0RE Index,207.9654,0.008762658
9/17/2013,M9WO0RE Index,207.653,-0.001502173
9/18/2013,M9WO0RE Index,211.803,0.019985264
9/19/2013,M9WO0RE Index,214.4956,0.012712757
9/20/2013,M9WO0RE Index,212.4557,-0.009510218
9/23/2013,M9WO0RE Index,211.9033,-0.002600071
9/24/2013,M9WO0RE Index,210.1671,-0.00819336
9/25/2013,M9WO0RE Index,210.7224,0.002642183
9/26/2013,M9WO0RE Index,210.4801,-0.001149854
9/27/2013,M9WO0RE Index,210.5315,2.44E-04
9/30/2013,M9WO0RE Index,208.6599,-0.008889881
10/1/2013,M9WO0RE Index,210.3816,0.008251226
10/2/2013,M9WO0RE Index,210.2723,-5.20E-04
10/3/2013,M9WO0RE Index,208.5806,-0.008045282
10/4/2013,M9WO0RE Index,207.1931,-0.006652105
10/7/2013,M9WO0RE Index,206.953,-0.001158822
10/8/2013,M9WO0RE Index,205.7514,-0.005806149
10/9/2013,M9WO0RE Index,206.7967,0.005080403
